0.00000,1.22214,-1.36167,-1.31325,-1.16214,1.84282,-0.22012
0.00108,1.22199,-1.36117,-1.31415,-1.16178,1.84293,-0.22021
0.00215,1.22185,-1.36067,-1.31503,-1.16142,1.84304,-0.22030
0.00323,1.22172,-1.36019,-1.31590,-1.16107,1.84314,-0.22039
0.00431,1.22159,-1.35971,-1.31676,-1.16073,1.84324,-0.22047
0.00539,1.22146,-1.35924,-1.31760,-1.16039,1.84334,-0.22056
0.00646,1.22133,-1.35877,-1.31843,-1.16005,1.84343,-0.22064
0.00754,1.22120,-1.35832,-1.31924,-1.15972,1.84353,-0.22072
0.00862,1.22108,-1.35787,-1.32004,-1.15940,1.84362,-0.22080
0.00969,1.22096,-1.35743,-1.32083,-1.15907,1.84371,-0.22088
0.01077,1.22084,-1.35700,-1.32161,-1.15876,1.84380,-0.22096
0.01185,1.22072,-1.35657,-1.32237,-1.15845,1.84389,-0.22103
0.01293,1.22061,-1.35615,-1.32312,-1.15814,1.84397,-0.22111
0.01400,1.22050,-1.35574,-1.32386,-1.15784,1.84406,-0.22118
0.01508,1.22039,-1.35534,-1.32458,-1.15754,1.84414,-0.22125
0.01616,1.22028,-1.35494,-1.32530,-1.15725,1.84422,-0.22132
0.01723,1.22018,-1.35455,-1.32600,-1.15696,1.84430,-0.22139
0.01831,1.22007,-1.35416,-1.32669,-1.15668,1.84438,-0.22145
0.01939,1.21997,-1.35379,-1.32737,-1.15640,1.84446,-0.22152
0.02047,1.21987,-1.35341,-1.32804,-1.15613,1.84453,-0.22158
0.02154,1.21978,-1.35305,-1.32870,-1.15585,1.84460,-0.22165
0.02262,1.21968,-1.35269,-1.32934,-1.15559,1.84468,-0.22171
0.02370,1.21959,-1.35234,-1.32998,-1.15532,1.84475,-0.22177
0.02477,1.21950,-1.35199,-1.33061,-1.15506,1.84481,-0.22183
0.02585,1.21941,-1.35165,-1.33122,-1.15481,1.84488,-0.22188
0.02693,1.21934,-1.35140,-1.33167,-1.15463,1.84493,-0.22193
0.02801,1.21914,-1.35063,-1.33304,-1.15407,1.84508,-0.22206
0.02908,1.21894,-1.34987,-1.33439,-1.15352,1.84524,-0.22219
0.03016,1.21874,-1.34913,-1.33572,-1.15298,1.84538,-0.22231
0.03124,1.21855,-1.34840,-1.33703,-1.15244,1.84553,-0.22244
0.03231,1.21836,-1.34768,-1.33832,-1.15192,1.84567,-0.22256
0.03339,1.21818,-1.34697,-1.33958,-1.15140,1.84581,-0.22268
0.03447,1.21800,-1.34628,-1.34083,-1.15090,1.84595,-0.22280
0.03555,1.21782,-1.34559,-1.34205,-1.15039,1.84608,-0.22291
